postUrl,postCode,ownerUsername,text,TP_rating
https://www.instagram.com/p/C3Y5f_xIyFP/,C3Y5f_xIyFP,hannie_jl,"Oh the triple feeding life is so tough, sending big hugs. The mam shields were good for Zachy as well, hope it gets a little easier for you both ❤️",3
https://www.instagram.com/p/C3Y5f_xIyFP/,C3Y5f_xIyFP,schmopop,"Oh Jo, I can remember so vividly that initial c-section pain. You’re amazing and I really hope this feeding journey turns out easier in the end, than your last.
Sending love ❤",2
https://www.instagram.com/p/C3LENVwoQ0W/,C3LENVwoQ0W,livingthemumlife,Well done you for persevering and doing what you knew mattered for you both. I had a 13 month old and a baby with a cleft palate and exclusively pumped for as long as I could and it was hard hard work! But I’m grateful I did it and grateful I knew when to give myself permission to stop for all of our sakes too. I think what matters is the confidence to trust ourselves and know whatever choices we made we were all just doing our best for our families ❤️ 👏,3
https://www.instagram.com/p/C3LENVwoQ0W/,C3LENVwoQ0W,cerigillettcoaching,Get that in pride of place ❤ you deserve it,2
https://www.instagram.com/p/C3LENVwoQ0W/,C3LENVwoQ0W,lifeofalouise,#breastfeedingjourney #triplefeeding #mamaof2 #womenarestrong #womenarebeautiful #supportsmallbusiness,2
https://www.instagram.com/p/C2shcV7vKGT/,C2shcV7vKGT,severusia,Brilliant. Can you share more about how you have it set up to pump hands free?,3
https://www.instagram.com/p/C2S-fF-NzSM/,C2S-fF-NzSM,successfulbreastfeeding,"Yes it's intended as a temporary strategy but so often when I talk to parents, no-one's told them when or how to stop until they get desperate enough to come along to the Baby Cafe and ask for help. Absolutely agree, if you're trapped in the triple feeding cycle, get specialist support.  Because it's often not sustainable.",1
https://www.instagram.com/p/C2n1RelsTxI/,C2n1RelsTxI,lifeattarget,Well done you. I relate so closely to your story. You should be so proud ❤️,3
https://www.instagram.com/p/C2n1RelsTxI/,C2n1RelsTxI,ourbabyclubreading,So proud of you and your determination ❤️ x,3
https://www.instagram.com/p/C2n1RelsTxI/,C2n1RelsTxI,boobingit,It's amazing how far you've come. You should be so proud of making it all work. And you deserve a medal for triple feeding! 🙌❤️,3
https://www.instagram.com/p/C2hB6CEAq-z/,C2hB6CEAq-z,skinw.ithin,"Try a manual pump - they can feel less intimidating and mechanical than electric , and more conducive to promoting the breastfeeding hormones. Remember,  feeling sleepy during this process is a good sign.",2
https://www.instagram.com/p/C2hB6CEAq-z/,C2hB6CEAq-z,rebecca.sardar,Remember let down is hormonal so try to create those cosy feelings by watching videos or smelling something of theirs to help. Stress makes it way harder which is a spiral that’s so easy to get into!,2
